model_name,colsample_bytree,learning_rate,max_depth,n_estimators,scale_pos_weight,subsample,train_accuracy,train_roc_auc,train_precision_1,train_recall_1,train_f1_1,val_accuracy,val_roc_auc,val_precision_1_at_0.5,val_recall_1_at_0.5,val_f1_1_at_0.5,best_threshold,val_precision_1,val_recall_1,val_f1_1
xgboost_model_303,0.8,0.05,6,700,10,0.8,0.9230807784285366,0.978240849438946,0.4422306322350846,0.9168108918887735,0.596658532006758,0.9135257952419139,0.9550735137785376,0.4036890645586298,0.8249865374259558,0.5421089879688605,0.75,0.5794349235757295,0.6736672051696284,0.62300796812749
xgboost_model_271,0.8,0.03,7,900,10,0.8,0.9275414202454427,0.9810178376711869,0.4585307380558251,0.9268489673474097,0.6135339494386314,0.9161320502539428,0.9550215262103574,0.4117805998378817,0.8206785137318255,0.5483987045699892,0.75,0.5836501901140685,0.6612816370490038,0.6200454430699318
xgboost_model_310,0.8,0.05,6,1100,5,0.8,0.9577563616055447,0.985333769213026,0.610582687235233,0.8813891773393331,0.7214090093493247,0.9402900294039027,0.9549470074986982,0.5133384146341463,0.7253634894991923,0.6012050881499665,0.69,0.6456783056668575,0.6074313408723748,0.6259711431742508
xgboost_model_251,0.8,0.03,5,1100,10,0.8,0.9123551902395716,0.9711717510091943,0.40642999266938945,0.8955809391946463,0.559121195750045,0.9072440523924085,0.9548951829911563,0.38606496404661544,0.8384491114701131,0.5286926994906621,0.79,0.6049510056730273,0.6316639741518578,0.6180189673340358
xgboost_model_275,0.8,0.03,7,1100,10,0.8,0.9327538556269959,0.983930451493401,0.47864003299746627,0.9372331833391023,0.633668772915204,0.9181368618016573,0.9548870875100596,0.41788978122403764,0.8126009693053312,0.5519385515727872,0.78,0.6214057507987221,0.6284329563812601,0.6248995983935743
xgboost_model_291,0.8,0.05,5,700,10,0.8,0.9130926639267968,0.9716875862522405,0.40877792378449407,0.8973116418599285,0.5616784630940344,0.9070101577118418,0.9548707238954258,0.38556599110232326,0.840064620355412,0.5285448077248857,0.78,0.5987071108901044,0.6483575659666129,0.6225439503619442
xgboost_model_247,0.8,0.03,5,900,10,0.8,0.9090544584938353,0.9688180038398164,0.39630981137893817,0.8896965501326872,0.5483572749253307,0.905239240844694,0.9548040704616095,0.3809292143030893,0.8432956381260097,0.524798927613941,0.78,0.5925373134328358,0.6413570274636511,0.6159813809154383
xgboost_model_307,0.8,0.05,6,900,10,0.8,0.9296822419200091,0.9819963403893879,0.4665855918461895,0.929618091611861,0.6213225371120108,0.9163659449345095,0.954801336797969,0.41184497816593885,0.8126009693053312,0.5466401014309002,0.77,0.6052366565961732,0.6472805600430802,0.6255529534218058
xgboost_model_279,0.8,0.03,8,700,10,0.8,0.9303839159136797,0.982810996279566,0.4693557748113755,0.9330794969424253,0.6245511063057497,0.9173683507083668,0.9547641014216451,0.4155701754385965,0.8163704900376952,0.550772025431426,0.76,0.5957128614157527,0.6435110393107162,0.6186901371990681
xgboost_model_295,0.8,0.05,5,900,10,0.8,0.918104621024444,0.9748669646046928,0.42499052568891776,0.9057343948309681,0.5785245780823937,0.9103849238171612,0.9547619048989305,0.3947972456006121,0.8336025848142165,0.5358255451713395,0.77,0.5932781295664881,0.6558966074313409,0.6230179028132993
xgboost_model_252,0.8,0.03,5,1100,15,0.8,0.8898801426259791,0.9711124116758327,0.35338313021447604,0.9334256374754817,0.5126742712294043,0.8841553060678963,0.9547400164062023,0.33497334973349735,0.8799138395261173,0.4852264291017075,0.84,0.595309381237525,0.6424340333871836,0.617974617974618
xgboost_model_315,0.8,0.05,7,700,10,0.8,0.9341357237982043,0.9844669967556687,0.48417043561056894,0.9387331256490135,0.6388441757292608,0.9191392675755146,0.954685122521941,0.4213027676824154,0.8115239633817986,0.5546558704453441,0.77,0.6073997944501541,0.6365105008077544,0.6216145148566921
xgboost_model_299,0.8,0.05,5,1100,10,0.8,0.9220927068864291,0.9775763919425785,0.43881273491045764,0.9160032306449752,0.5933704548002541,0.9125233894680567,0.9546764035736983,0.4006786739754633,0.8266020463112547,0.539732770745429,0.81,0.6349471341124096,0.6144318793753366,0.6245210727969349
xgboost_model_333,0.8,0.05,8,1100,1,0.8,0.9866610341815474,0.9967463003920156,0.9556656844361103,0.8232375677858544,0.884522407487758,0.9581328521785619,0.954658428536287,0.735202492211838,0.5083467959073775,0.6010824578159821,0.25,0.5942371280113368,0.6774367259019924,0.6331152491192753
xgboost_model_326,0.8,0.05,8,700,5,0.8,0.9661979293457248,0.9904424316016218,0.6661613609567122,0.9126572054920965,0.7701669831069569,0.9437984496124031,0.9546340845421835,0.5354969574036511,0.7108239095315024,0.6108283202221194,0.63,0.6108808290155441,0.6348949919224556,0.6226564562978611
xgboost_model_243,0.8,0.03,5,700,10,0.8,0.9055747282803259,0.9660303913020973,0.3861610515183562,0.8847352024922118,0.5376525031552377,0.9024659182036888,0.9545542423802771,0.3743492664458116,0.8519116855142703,0.520138089758343,0.77,0.5789222699093943,0.6537425955842757,0.6140617096611026
xgboost_model_248,0.8,0.03,5,900,15,0.8,0.8852977818509874,0.9687664941241584,0.3431594215263854,0.9281181493019499,0.5010589261243303,0.8810144346431436,0.9545487175021827,0.3293269230769231,0.8852988691437803,0.48007008322382827,0.84,0.5939212755356253,0.6418955304254174,0.6169772256728778
xgboost_model_264,0.8,0.03,6,1100,15,0.8,0.9028038319991981,0.9777211225072983,0.3849507735583685,0.947386638975424,0.5474547454745474,0.8936113338679498,0.954493881168735,0.3540796129316033,0.8669897684437264,0.5028107432854466,0.84,0.6079751424132573,0.6322024771136241,0.6198521647307286
xgboost_model_311,0.8,0.05,6,1100,10,0.8,0.9351381152177337,0.9849759073736646,0.48827610958248596,0.9418483904465212,0.643135710064999,0.9191726811013098,0.9544864858892024,0.42088963963963966,0.8050619278406032,0.5527823997041967,0.77,0.6107692307692307,0.6413570274636511,0.6256895193065406
xgboost_model_260,0.8,0.03,6,900,15,0.8,0.8970400813369037,0.9749709264614481,0.37025934505155106,0.9405792084919811,0.5313518446095685,0.889501470195135,0.9544739589954674,0.34541577825159914,0.8723747980613893,0.49488315258897203,0.83,0.5886977886977887,0.6451265481960151,0.6156217882836588
xgboost_model_322,0.8,0.05,7,1100,5,0.8,0.9679592742686123,0.9913996130452232,0.6781404045554988,0.9206184377523942,0.7809915333039691,0.9435645549318364,0.9544657867799528,0.5338436744560838,0.7135164243403339,0.6107398017976492,0.64,0.6268817204301075,0.6278944534194938,0.6273876782351359
xgboost_model_256,0.8,0.03,6,700,15,0.8,0.8903741783970329,0.9718155143402261,0.35450245269796776,0.9338871581862236,0.5139210768595829,0.8842221331194867,0.9544320236360423,0.33497536945812806,0.8788368336025848,0.4850646455639768,0.82,0.5728971962616822,0.6602046311254712,0.6134600950713035
xgboost_model_283,0.8,0.03,8,900,10,0.8,0.9373505362794095,0.9863855419860472,0.49747582263852563,0.9436944732894889,0.6515054962561734,0.9208099438652767,0.9544290885445548,0.42677704824436197,0.8050619278406032,0.5578358208955224,0.75,0.596903096903097,0.6435110393107162,0.6193314330137342
xgboost_model_268,0.8,0.03,7,700,15,0.8,0.9010568069537325,0.9775397782738757,0.38054164347987385,0.9468097380869966,0.5428864410704244,0.8910050788559208,0.9544238897877366,0.3483049017490823,0.8686052773290253,0.4972256473489519,0.82,0.5817655571635311,0.6494345718901454,0.6137404580152672
xgboost_model_244,0.8,0.03,5,700,15,0.8,0.8795984706370914,0.9659646901566348,0.33133253301320525,0.923502942194531,0.4876919327321472,0.8771384656508955,0.9543461002715113,0.32247366367538044,0.8901453957996769,0.4734354861807246,0.84,0.5906374501992032,0.6386645126548196,0.613712807244502
xgboost_model_292,0.8,0.05,5,700,15,0.8,0.8914911288359372,0.9718026176444363,0.3569286407338802,0.9337717780085382,0.5164481031237038,0.8851577118417535,0.9543414290638169,0.3365742656185354,0.8761443187937533,0.4863249140636676,0.82,0.5752539242843951,0.6709746903607969,0.6194382301764852
xgboost_model_272,0.8,0.03,7,900,15,0.8,0.9087394211905546,0.9809939639209578,0.4011343254641524,0.9547709703472943,0.5649235390496996,0.8965183106121358,0.9542923765871244,0.3602344454463481,0.8605277329025309,0.5078658827268393,0.83,0.6027678113787801,0.6332794830371568,0.6176470588235294
xgboost_model_330,0.8,0.05,8,900,5,0.8,0.9727850729597755,0.9936282025931755,0.7140971488912354,0.9363101419176185,0.8102441216115022,0.9450013365410318,0.9540759759366236,0.5444584913611462,0.6957458266020463,0.6108747044917258,0.61,0.6058133605303416,0.6397415185783522,0.6223153483499214
xgboost_model_287,0.8,0.03,8,1100,10,0.8,0.9441166783612333,0.9892804443754024,0.5274487326455228,0.9555786315910927,0.6797160326644507,0.923616680032077,0.9540735971696664,0.4362934362934363,0.7910608508346796,0.5624042879019908,0.74,0.5985037406483791,0.6462035541195477,0.6214396685655101
xgboost_model_280,0.8,0.03,8,700,15,0.8,0.9126630676041413,0.9830233868254277,0.4123081507971986,0.9577708549671167,0.5764583333333333,0.8989240844693932,0.9540480733838863,0.3659935750344195,0.8589122240172321,0.5132743362831859,0.84,0.6224156692056583,0.6160473882606354,0.6192151556156968
xgboost_model_296,0.8,0.05,5,900,15,0.8,0.8976629960047542,0.9748681730231065,0.3716111364673665,0.9394254067151263,0.5325571507996206,0.8897687784014969,0.9540169192101873,0.345610278372591,0.8691437802907916,0.4945610540830397,0.84,0.6024217961654894,0.6429725363489499,0.6220369887991665
xgboost_model_276,0.8,0.03,7,1100,15,0.8,0.9156845617401516,0.9839689988957971,0.4215651647409052,0.9640013845621322,0.5866039457979358,0.9011962042234697,0.9539443476343843,0.37089201877934275,0.8508346795907378,0.5165931011933954,0.82,0.5998988366211432,0.6386645126548196,0.6186750130412102
