model_name,threshold,val_roc_auc,val_accuracy,val_precision_1,val_recall_1,val_f1_1
xgboost_model_329,0.37,0.9552148489846513,0.9564621758887998,0.6644893111638955,0.6025848142164781,0.6320248517367976
xgboost_model_281,0.31,0.9557857050953974,0.9538225073509756,0.6251976805482341,0.6386645126548196,0.6318593500266383
xgboost_model_329,0.35,0.9552148489846513,0.9555600106923282,0.6501424501424501,0.6144318793753366,0.6317829457364341
xgboost_model_157,0.38,0.9556351425755221,0.9568965517241379,0.6723404255319149,0.5955842757135165,0.6316390633923472
xgboost_model_325,0.38,0.9556351425755221,0.9568965517241379,0.6723404255319149,0.5955842757135165,0.6316390633923472
xgboost_model_137,0.26,0.9558721560090522,0.9502138465650896,0.5839048925468678,0.687668282175552,0.6315529179030662
xgboost_model_333,0.37,0.954658428536287,0.9565624164661856,0.6666666666666666,0.5998922994076468,0.6315192743764172
xgboost_model_285,0.27,0.9557868273362604,0.951516974071104,0.5975961538461538,0.6693591814754981,0.6314452628905258
xgboost_model_321,0.35,0.9553261522579284,0.9557270783213044,0.6530494821634062,0.6112008616047389,0.631432545201669
xgboost_model_157,0.27,0.9556351425755221,0.9510825982357658,0.5929078014184397,0.6752827140549273,0.6314199395770392
xgboost_model_325,0.27,0.9556351425755221,0.9510825982357658,0.5929078014184397,0.6752827140549273,0.6314199395770392
xgboost_model_141,0.25,0.9558116029614652,0.9499799518845229,0.5816696914700544,0.6903607969843835,0.6313715833538537
xgboost_model_313,0.25,0.9558116029614652,0.9499799518845229,0.5816696914700544,0.6903607969843835,0.6313715833538537
xgboost_model_153,0.28,0.9558447714136361,0.9516506281742849,0.5991295938104448,0.6672051696284329,0.6313375796178344
xgboost_model_273,0.27,0.9562108521382056,0.9512162523389468,0.5943889681407513,0.6731287022078621,0.6313131313131313
xgboost_model_141,0.34,0.9558116029614652,0.9550922213311949,0.6435366536094013,0.6192784060312332,0.6311745334796927
xgboost_model_313,0.34,0.9558116029614652,0.9550922213311949,0.6435366536094013,0.6192784060312332,0.6311745334796927
xgboost_model_153,0.26,0.9558447714136361,0.9502472600908848,0.5844036697247706,0.686052773290253,0.6311617537775576
xgboost_model_73,0.28,0.9557303028456173,0.9516506281742849,0.5992255566311714,0.6666666666666666,0.6311496303849095
xgboost_model_137,0.27,0.9558721560090522,0.9508152900294039,0.5902484763244257,0.6779752288637587,0.631077694235589
xgboost_model_277,0.28,0.9558810667933398,0.9516172146484897,0.5989356555394292,0.6666666666666666,0.6309887869520897
xgboost_model_77,0.28,0.9558810667933398,0.9516172146484897,0.5989356555394292,0.6666666666666666,0.6309887869520897
xgboost_model_281,0.32,0.9557857050953974,0.9542234696605186,0.631266846361186,0.6305869682283253,0.630926724137931
xgboost_model_333,0.38,0.954658428536287,0.956762897620957,0.6707095209217707,0.5955842757135165,0.6309184255561894
xgboost_model_281,0.3,0.9557857050953974,0.9530874097834804,0.6163328197226502,0.6462035541195477,0.6309148264984227
xgboost_model_281,0.27,0.9557857050953974,0.9512830793905372,0.5953177257525084,0.6709746903607969,0.6308860759493671
xgboost_model_281,0.34,0.9557857050953974,0.9552927024859663,0.6468590831918506,0.6155088852988692,0.6307947019867549
xgboost_model_309,0.34,0.9556797252723674,0.9548583266506282,0.6403995560488346,0.6214324178782983,0.6307734353648538
xgboost_model_73,0.27,0.9557303028456173,0.9509823576583801,0.5921550094517959,0.674744211093161,0.630757613893783
xgboost_model_333,0.34,0.954658428536287,0.9551256348569901,0.6443820224719101,0.6176628971459343,0.6307396205664009
xgboost_model_321,0.25,0.9553261522579284,0.9503475006682706,0.5856022150438394,0.6833602584814217,0.6307157057654076
xgboost_model_153,0.38,0.9558447714136361,0.9565958299919808,0.6680722891566265,0.5971997845988153,0.6306511231162923
xgboost_model_333,0.35,0.954658428536287,0.955526597166533,0.6506300114547537,0.6117393645665051,0.6305856230918679
xgboost_model_317,0.35,0.9556577216780122,0.9553261160117615,0.6475595913734393,0.6144318793753366,0.6305609284332688
xgboost_model_281,0.33,0.9557857050953974,0.9546578454958567,0.6376651982378855,0.6235864297253635,0.6305472365913423
xgboost_model_317,0.25,0.9556577216780122,0.9501136059877038,0.5833333333333334,0.686052773290253,0.6305369957931205
xgboost_model_333,0.27,0.954658428536287,0.9519513499064421,0.6029484029484029,0.6607431340872375,0.630524152106886
xgboost_model_329,0.26,0.9552148489846513,0.9510491847099706,0.5929791271347249,0.6731287022078621,0.6305170239596469
xgboost_model_277,0.29,0.9558810667933398,0.9522854851643946,0.6068759342301944,0.6558966074313409,0.6304347826086957
xgboost_model_77,0.29,0.9558810667933398,0.9522854851643946,0.6068759342301944,0.6558966074313409,0.6304347826086957
xgboost_model_333,0.28,0.954658428536287,0.952352312215985,0.607696151924038,0.6548196015078083,0.6303784344219803
